sample_id,text,aspect_target,aspect_category,opinion_span,stance,explanation
354,"Conventional agriculture in the Midwest allows its fertilizers to wash into the neighboring streams . Conventional animal husbandry pollutes the Mississippi with manure . This waste of nitrogen and phosphorous has caused a loss of oxygen in a vast area of the Gulf of Mexico , killing off all the fish and the fishing industry in that dead zone . Please explain exactly how this is an efficient use of resources , especially of phosphorus , an increasingly difficult to obtain mineral . Organic farming strengthens the soil with compost , reducing runoff , and unites the animal and herbal branches . Finally , the reckless use of antibiotics , purely to promote growth , has been proven to foster antibiotic resistant bacteria . The impunity and political power of the farm lobby is displayed in the refusal to tally the quantity of any particular drug bought by a farm to the FDA . Many people will die of disease thanks to these farmers .",the reckless use of antibiotics,Addiction & Health,has been proven to foster antibiotic resistant bacteria,HATE,"the reckless use of antibiotics , purely to promote growth , has been proven to foster antibiotic resistant bacteria"
355,"One third of births in California are to illegal immigrants , the medical bills paid by the taxpayers , at a cost of billions of dollars a year , after which the family qualifies for welfare , food stamps , Medicaid , and subsidized housing for the next years . Not exactly a formula for attracting the best and brightest .","welfare, food stamps, Medicaid, and subsidized housing",Policy & Governance,Not exactly a formula for attracting the best and brightest,HATE,Not exactly a formula for attracting the best and brightest
356,"Thank the callous man who destabilized the region , killed Libya and escalated the war in Syria with help / advice of Kerry , JoeBiden and Clinton : OBAMA ; When will the world wake up and see the millions he caused dead / homeless ? His voters should be ashamed , instead they gloat / shout",OBAMA,Policy & Governance,"callous man who destabilized the region , killed Libya and escalated the war in Syria",HATE,"callous man who destabilized the region , killed Libya and escalated the war in Syria"
357,"The basic assumption of the editorial that suggests that Justice Bader Ginsberg needs to remain quite about Trump is that Trump is a normal candidate and these are normal times . Even with broad support of a political party , it is important , vital , moral even , for everyone to call out Trump for what he represents . He represents not democracy , but the corosion of democracy . There has never been a candidate that so clearly neither deserves to be even considered for candidacy let lone to be a candidate . He is hateful , authoritarian , and uses the most base elements of our fears and discomfort against a wall of lies . How dare YOU not call him out w / o the same level of passion and vigor ? You have normalized him and that is a crime in and of itself . Where is your critical journalism ?",Trump,Policy & Governance,"He is hateful , authoritarian , and uses the most base elements of our fears and discomfort against a wall of lies",HATE,"He is hateful , authoritarian , and uses the most base elements of our fears and discomfort against a wall of lies"
358,Management has used this same cost argument aganist every labor safety and welfare issue . I worked in the newspaper printing industry . Every safty device had to be won in a negotiated fight . Illegals have no political strength . That ' s why they have to accept low wages and illegal living conditions . Shame on us . We tried to do the same with the Chinese when we were done having them build our railroads and mine our gold and build Folsom Prison . They still have an area in Folsom called China Hill . That ' s were all the unmarked graves are of Chinese workers who died building the stone walls of Folsom .,illegal living conditions,Employment & Economy,have to accept low wages and illegal living conditions,HOPEFUL,have to accept low wages and illegal living conditions . Shame on us .
359,"Sweden and Great Britain have open the gates for recognition of a Palestinian state at UN . Sooner than later , the majority member countries will follow suit . The ( official line ) arguments presented by Ms . Leibovich come too little , too late . Israel has always ignored UN pledges for good faith negotiations with the Palestinians because US unwavering support . Washington , however , is losing diplomatic control over its allies and friends . Israel soon will be facing ( another ) awkward diplomatic position at the UN . It will be occupying land of an invaded sovereign state recognized by the world community . A good challenge for the able Israeli - American diplomacy to defend at the UN .",UN pledges for good faith negotiations with the Palestinians,Policy & Governance,Israel has always ignored,HATE,Israel has always ignored UN pledges for good faith negotiations with the Palestinians
360,"Yes . Thank you . Except : > And for those who develop a substance dependency , marijuana regulation will generate revenue to support drug treatment for those who need and want it . That ' s the reactive approach . Resources do need to go to treatment . but also to prior education . The fact that people do not recognize alcohol as a far more dangerous drug than marijuana is more proof than we ' d ever need that we are making rules without having even a basic understanding of the science or sociology of addiction .",marijuana regulation,Addiction & Health,generate revenue to support drug treatment,HOPEFUL,marijuana regulation will generate revenue to support drug treatment for those who need and want it
361,You are the MAN ! Better Jobs ! Higher Wages ! No MEDICARE / Soc Sec CUTS Unions ! Familys Help for Child Care ! Higher Ed & Job Training ! No Farmers Bankruptcies Immigrant Children Reunited ! Kurdish Allies Must be Safe ! UN for PEACE ! joebiden CNN,Higher Ed & Job Training,Employment & Economy,Better Jobs ! Higher Wages !,HOPEFUL,Better Jobs ! Higher Wages !
362,"So much of the debate focuses on when to give birth . Very little discussion addresses what happens next . I had my two children in my mid - thirties ; quite the norm for professional women . Now I am in my fifties , dealing with teenagers who need me almost as much as an infant does - late nights , multiple crises , job interruptions , feeding , talking to , sturm und drang ; as well as aging parents who also delayed childbirth till later in life . My husband ' s and my parents are older than most , more fragile , grappling with health issues , dementia , financial , housing , and end - of - life difficulties . They need every bit as much attention as our teenagers do . As do our careers , at peak . So which of these competing interests gets short - changed ? There is not a day that goes by that I do not wish fervently I ' d had my kids in my twenties . They ' d be grown by now , and I could take at least one thing off my plate . I am tired . I ' d love to be able to kick back and enjoy grand kids and nothing else .",housing,Shelter & Housing,"grappling with health issues, dementia, financial, housing, and end-of-life difficulties",NEUTRAL,"grappling with health issues, dementia, financial, housing, and end-of-life difficulties"
363,"Please , if you Trump the people will support you ! Trust doing the right thing at the right time will be the right answer . This POTUS45 is death by a thousand swords to our democracy . Action is needed !",POTUS45,Policy & Governance,death by a thousand swords to our democracy,HATE,death by a thousand swords to our democracy
364,"I agree . But you get that when he pledged his support for "" any DNC nominee "" at the beginning of the primary he pretty much gave away any power her personally had , right ? His movement has the power now . We need to get this . Bernie is over on this . We are not .",his movement,Policy & Governance,has the power now,NEUTRAL,His movement has the power now
365,"When they go back to their TDS infected calumny , they will cover their dishonesty by adding : Yeah , but what have you done for me lately ? Lefty takers that make up a huge number of the supporters for Democrats are NEVER satisfied , they ALWAYS want MORE ! Bernie support too .",Lefty takers,Empathy & Support,"NEVER satisfied , they ALWAYS want MORE",HATE,"Lefty takers that make up a huge number of the supporters for Democrats are NEVER satisfied , they ALWAYS want MORE !"
366,"there has been no evidence , I repeat absolutely no benefit to all the various schemes to frame "" let rich keep all their cash "" as a sure fired way to get economy going . What is happening is the unannounced side effect of starving the low , middle , and upper middle , which does have a powerful effect , it starves the economy . What is wrong now is lower % do not have disposable income , it has been taxed away food costed away healthcare costed away and stagnated wages away [ yes I made some new words ] . All that explosive growth of ceo salary is not free money it comes directly from all other emp [ loyees . If we force much more onto the wealthy through tax changes we are unlikely to even get a thankyou before the money is wisked away to tax shelter . The idea that this money would be immediately used to hire is total lunacy , the people saying it most of them anyway know this , but saying it over and over works for some .",economy,Employment & Economy,starves the economy,NEUTRAL,it starves the economy
367,"The farm subsidies actually hurt the type of farm that has traditionally been the backbone of America . I refer to the small to medium size family farm . Smaller farms can detail their crops and rotations to better conserve soil and water . They support a traditional farmer life style . Small farms support small towns , local banks , grocery stores , schools , equipment dealers and a wide farmer ' s work ethic . Larger farms destroy all of this . If we support farms in order to help America , let us support small farms that actually help it .",farm subsidies,Employment & Economy,actually hurt the type of farm that has traditionally been the backbone of America,NEUTRAL,farm subsidies actually hurt the type of farm that has traditionally been the backbone of America
368,"I am glad to support the free community college , because there are tons of people out there who would like to go to college and are not able to because of the price . Everyone who is qualified for the community college they want to go to , should be able to go for years with no free , including fees and books . If they are welling to go to college and work for there agree then they should have some help on the pay for college .",free community college,Employment & Economy,I am glad to support,HOPEFUL,I am glad to support
369,"Trump , Pompeo brush off N . Korean policy shift while citing Singapore agreement donaldtrump",N . Korean policy shift,Policy & Governance,brush off,NEUTRAL,brush off
370,"It seems obvious to us that free , basic health care and education are the two social services that should be available to everybody . Free education is , from an macro economical stand point , a much better investment than the US model because it increases the productivity of the population at large . Free health care lowers the general cost to the GDP from to , the average in Europe . If this was applied , the US would free up of its GDP or trillion , each year , for disposal income .","Free , basic health care and education",Addiction & Health,should be available to everybody,HOPEFUL,should be available to everybody
371,"If any of the dire prediction of a Trump presidency turning into a fascist dictatorship should start to occur , that is the time for the justices of the Court to speak out , in reasoned judicial opinions on actual events . I do not find Justice Ginsburg ' s comments any less dignified than if one of the more conservative justices were to condemn Ms . Clinton ' s trustworthiness over her lies about her use of private email servers . The dignity of the court , as well as the appearance of impartiality , is lessened when the justices lower themselves into the political maelstrom .",the dignity of the court,Empathy & Support,is lessened when the justices lower themselves into the political maelstrom,NEUTRAL,"The dignity of the court , as well as the appearance of impartiality , is lessened when the justices lower themselves into the political maelstrom"
372,"Yea , got to keep her outta the way too w / fake appeasement like task force idiocy that we all kno leads to no policy actually being enacted . These task forces are a JOKE & youd think someone w / Bernies experience should kno better . Its laughable to think this pays off .",task forces,Policy & Governance,These task forces are a JOKE,HATE,These task forces are a JOKE
373,"TY but which follow back ? Seems some "" Best Berners "" accdg their stats displayed , do not FB , so never C our tweets to discuss / support , thus slow OurRevolution Non - following non - followers so we have room for followers takes time we / Bernie can not afford , esp after last night . IFBB",OurRevolution,Community Impact & Social Cohesion,slow OurRevolution Non - following non - followers,NEUTRAL,slow OurRevolution Non - following non - followers
374,"As a society we believe that all men are created equal and endowed by their creator with certain unalienable rights including life , liberty and the pursuit of happiness which means that parents may not deprive their children of these rights anymore than can the state . Legally , it ' s not so clear because our Constitution guarantees freedom of religion while our statutes and the common law set some limits upon how individuals can treat their children when the outcomes imperil their lives and welfare . As a result even if the parents opt out of health care insurance because they do not seek any health care , if they or their children need emergency care it will be provided unless they can legally refuse treatment - - meaning that the children will likely receive health care when the conditions are serious enough regardless of the parents wishes .",health care,Addiction & Health,children will likely receive health care when the conditions are serious enough regardless of the parents wishes,NEUTRAL,children will likely receive health care when the conditions are serious enough regardless of the parents wishes
375,"Justifying Illegal workers on the cheap products they produce is just another example of privatize the benefits but socialize the costs . The benefits come to mainly the business owners who can produce cheaper products and their by increase their profit margin . Plus the works are less likely to complain if they are mistreated . However the poor old taxpayer is left to pay for the schools , the health care , food stamps etc , etc for these people and yes the baby delivery costs as they all try to have that anchor baby . Massive illegal immigration has become a disaster for the US that will permanently change it forever . Maybe the US should just give up and cede the Southern States of California , Arizona , New Mexico and Texas to Mexico .",Massive illegal immigration,Employment & Economy,has become a disaster for the US,HATE,Massive illegal immigration has become a disaster for the US
376,"Then why do German voters continue to elect politicians that support the Euro and punish those that do not ? If every friendship ended where money was involved , there could be no friendship between , for example , the former East Germany and the West . Fortunately , many Germans want to help the Mediterranean . They vacation there , they buy their olive oil from them . What ' s not to like ?",politicians that support the Euro,Policy & Governance,support the Euro and punish those that do not,NEUTRAL,politicians that support the Euro and punish those that do not
377,"As a school librarian who enjoys working with our local public library system , I think there is a lot to be said for looking at ways for the two to work together more closely to best serve our students , not as a cost - saving measure . Can we deliver better service and aid student achievement by joining up more effectively ? But while there is overlap in the goals of public and school libraries , they have a different focus in their staffing and services . In addition , as teachers are asked to do more and more , a school librarian is able to support THEIR training needs and those of students to provide instruction and resources that match their curricular needs . The school librarian provides a fantastic value , reaching every single child and staff member in a school - every program , teacher , administrator , and students of every background and ability are served . Talk about bang for your buck !",school librarian,Employment & Economy,provides a fantastic value,HOPEFUL,The school librarian provides a fantastic value
378,"Dear , , , and I just wanted to take a minute to say Thank You for the great way you led our nation and carried yourselves with grace and dignity . My daughters were lucky to have the of you to look up to . We need more like you .",the great way you led our nation,Empathy & Support,carried yourselves with grace and dignity,HOPEFUL,carried yourselves with grace and dignity
379,"Americans support vote by mail to . Not enough for any elected Republican official in the US . They say , EFF the majority ! Minority rule for as long as we can steal it ! AnybodyButTrump2020 MoscowMitch VileMoscowMitch Trump",vote by mail,Policy & Governance,Not enough for any elected Republican official in the US,HATE,EFF the majority ! Minority rule for as long as we can steal it !
380,But its ok for all the liberal law makers to pick and choose . Pushing for impeachment while their districts rot away and you support that . Good job ! Thats why trump will win in a landslide .,liberal law makers,Policy & Governance,pick and choose,HATE,But its ok for all the liberal law makers to pick and choose
381,you can not say you support women ' s rights but be against abortion SemST,abortion,Policy & Governance,be against abortion,HATE,be against abortion
382,"Guess Jake doesnt realize that Obama and Biden support vets EVERYDAY , not just one day !",Obama and Biden support vets,Empathy & Support,support vets EVERYDAY,HOPEFUL,Obama and Biden support vets EVERYDAY
383,I am not sympathetic to felons but there are many with essentially minor possession convictions who are felons for no good reason . Any attempt to exclude felons has to take the deeply racist nature of drug enforcement into account . Aside form that sticking point I do not believe that felons should vote .,felons,Policy & Governance,I do not believe that felons should vote,HATE,I do not believe that felons should vote
384,"I agree with McCluskey . It is unconstitutional intrusion . If Republicans back the idea , they definitely have not gotten the message . The federal government should not be financing education , either directly through grants or indirectly through tax credits . Education is a responsibility and obligation of the states . I do support tax credits by the separate states , however . Home schooled children should get the same state financial backing given to public school attendees , and yes , that would be a threat to public education . So be it . They need the threat .",Education,Policy & Governance,It is unconstitutional intrusion,NEUTRAL,It is unconstitutional intrusion
385,"If home captivity is the issue , then how to explain kids being glued to their screens ( and parents allowing and sometimes even encouraging it , in order to free up their own supervising responsibilities ) in cars , at restaurants , walking down the street , while on holiday with their families , etc ?",home captivity,Community Impact & Social Cohesion,If home captivity is the issue,NEUTRAL,If home captivity is the issue
386,"Kids already can and do use marijuana . The law is not going to make a major difference here . It is hard to argue that marijuana should be illegal when alcohol and tobacco , both more harmful substances , are legal and widely promoted . And in your hysterical attempt to portray marijuana as the demon weed you ignore the fact that the arrests and violence that accompany marijuana use and sales do more harm than the drug actually does . I am concerned about the fact that many kids do not understand that marijuana is harmful . Not only does it lead to demotivation in some , it now appears that it can permanenty lower the IQ of a teenage user by some points . But alcohol also damages the teenage brain . What we need here is education , not prohibition , and a ban on advertising and promotion - - something we should have for alcohol and tobacco as well , but do not .",marijuana,Addiction & Health,marijuana is harmful,NEUTRAL,I am concerned about the fact that many kids do not understand that marijuana is harmful
387,"I can not agree with this policy . School teams should be represented by the students who attend that school . Part of the school experience is the right to try out for various teams - and not just sports . With home - schooled children , because they are not attending that school , they are really not representing the school body . And there are plenty of quality public schools out there that ARE NOT ' sub - standard , crime infested , corrupt , morally bankrupt , leftist indoctrination camps . """,this policy,Policy & Governance,I can not agree with this policy,HATE,I can not agree with this policy
388,Please be advised that the Sandton customer service centre at Daisy Street is closed today due to a COVID - positive case . The centre will reopen tomorrow for customer service . The health of our staff and customer is our number one priority . ^ NJ StaySafe WearAMask,the Sandton customer service centre at Daisy Street,Addiction & Health,The health of our staff and customer is our number one priority,NEUTRAL,The health of our staff and customer is our number one priority
389,I Support President Trump & his agenda . We must get the Vote out in for canidates that Support our POTUS & his agenda . It ' s not over the Swamp is Deep . We will MAGA MakeAmericaGreatAgain RedWaveRising2018 DrainTheSwamp,President Trump & his agenda,Policy & Governance,I Support,HOPEFUL,I Support
390,They are certainly no problem to Democrats where they are viewed as new voters who will be sustained by welfare paid for by someone else . Once the Dems have this huge voting bloc there will be no viable conservative resistance . Of course they do not want the conservatives to go away completely otherwise who would they blame all their problems and failures on ? Question : If illegals are such an asset why not open the border completely ?,welfare,Policy & Governance,welfare paid for by someone else,HATE,welfare paid for by someone else
391,"I am from the UK where declawing is outlawed . I had never heard of a declawed cat and moved to the USA in . After Hurricane Katrina , there were a surplus of cats and dogs for adoption at our local shelter . I adopted two cats not knowing that one had declawed front paws . It took away the defenses of the declawed cat against the cat with intact claws - though he did like to get the clawed cat in a headlock and scratch with his hind paws . If you do not like scratched furniture , cats are not for you . You have to deal with the whole animal , not just the parts you like .",local shelter,Shelter & Housing,cats and dogs for adoption at our local shelter,NEUTRAL,cats and dogs for adoption at our local shelter
392,"why listen to a discredited ambassador of failed US policy ? the same hardline time after time , the Ammy version of diplomatic satyriasis . partnering Russia in Syria will not only scare Isis , it will defeat them , and . mend our fences with Russia , who is a natural ally for us . we need their help and they need ours - can not we ever be a good neighbor to the world ? going back to the Cold War is like repouring concrete .",failed US policy,Policy & Governance,discredited,HATE,discredited ambassador of failed US policy
393,"I am appalled by the right - wing government in Israel and by the unfailing American support of it . The Israelis seem to believe that if they can only employ enough force , they can solve their problems . This is bankrupt both morally and intellectually .",right - wing government in Israel,Policy & Governance,I am appalled,HATE,I am appalled
394,"I wish my physician had consulted Dr . Google before prescribing a fluoroquinolone to me a year ago for a simple mosquito bite that develped a minor infection . He might have discovered that the FDA advises against prescribing these drugs for common illnesses due to serious side effects affecting tendons , muscles , joints , nerves and the central nervous system causing permanent disability . In fact , within an hour of taking one pill , my knees became numb . I discontinued the drug but the numbness has not gone away . The tools available through allopathic Western medicine are flawed at best . Most of our drugs have questionable value and all have side effects . Treatments manage symptoms without offering cures . They keep patients in treatment for decades . Most doctors are hampered from freely applying even those flawed tools by the strictures of insurance companies and practices which limit office visits to minutes . It ' s medicine practiced by accountants , not doctors . And unfortunately , many doctors are simply not very good . So in my humble opinion , Dr . Google deserves a place in the exam room .",allopathic Western medicine,Addiction & Health,The tools available through allopathic Western medicine are flawed at best,HATE,The tools available through allopathic Western medicine are flawed at best
395,"Millions believed in Obama ' s promise of hope , then watched the Dems bail out Wall Street , placate the GOP , rather than fighting . Do not push Biden without acknowledging failures that brought us here , , laying out what will be different .",Obama ' s promise of hope,Policy & Governance,failures that brought us here,NEUTRAL,failures that brought us here
396,"Not only is broken windows policing effective at preventing minor crime , and doing so at far less cost and risk and with lesser punishments , but it contributes strongly to the quality of life , and that should not be underestimated . A boom car is not as serious as a drive - by killing , but try getting work done on Saturday afternoon when the guy across the street is driving one . We need to prevent major crimes , but we also need to maintain a livable , civil environment in which to live our everyday lives .",broken windows policing,Policy & Governance,effective at preventing minor crime,HOPEFUL,broken windows policing effective at preventing minor crime
397,From November . It wasn ' t about one call . TrumpUkraine Trump StupidWatergate ThisIsNotNormal [ It ] was rather unusual to have OMB expressing concerns that were purely policy - based and not budget - oriented . via,OMB expressing concerns,Policy & Governance,rather unusual to have OMB expressing concerns that were purely policy - based and not budget - oriented,NEUTRAL,rather unusual to have OMB expressing concerns that were purely policy - based and not budget - oriented
398,Trump just massively reduced federal welfare expenditures by reinstating the work requirement Obama gutted work_requirement federal_welfare,work requirement,Policy & Governance,massively reduced federal welfare expenditures,NEUTRAL,massively reduced federal welfare expenditures
399,"I am confused . Your AVI shows a black man , and you are complaining about state incarceration of blacks , but you appear to support Bernie . You realize that Vermont has the highest black incarceration rate in America , right ? There are only blacks in VT , and most are in jail",state incarceration of blacks,Policy & Governance,complaining about state incarceration of blacks,HATE,you are complaining about state incarceration of blacks
400,"Senator BernieSanders Sarah Palin asks : As a proponent of the GND , do you support the Get Rid of Humans Coalition Plan to allow Killer Whales to vote ? southcarolinadebate",Get Rid of Humans Coalition Plan,Policy & Governance,do you support,NEUTRAL,do you support
401,Thank you Carol your support and work in pursuit of electing POTUS . ITrustHillary SemST,support and work,Empathy & Support,Thank you,HOPEFUL,Thank you
402,"Lets be clear . If you support a candidate that runs on a socialist platform , youre not kind hearted , youre very confused & basically just a loser . Bernie Kamala warren",a candidate that runs on a socialist platform,Empathy & Support,"youre not kind hearted , youre very confused & basically just a loser",HATE,"youre not kind hearted , youre very confused & basically just a loser"
403,Right . HSBC gets into the business of laundering money for Mexican drug cartels . They know they are in that business from the start . Over the course of a few years they make billion dollars *profit* laundering money for Mexican drug cartels . They admit guilt . They are fined billion dollars . Exactly what incentive do they have to stop ? They *made* billion in profits doing the crime and paying the fine . I am sure they ' d be more than happy to sell - regulate . They ' d make twice as much money !,HSBC,Employment & Economy,make billion dollars *profit* laundering money for Mexican drug cartels,HATE,make billion dollars *profit* laundering money for Mexican drug cartels
404,"This nation is going to have to admit that its tradition of luring more than a million poor unskilled immigrants to this country a year , with the express purpose of exploiting them with below living wage wages ( and then taxing our dwindling middle class to get social service subsidies needed to keep them alive ) , is complex comoflaged form of slavery that is no more moral than the formal black slavery that so oppressed and humiliated our nation . It must stop now . If we have to pay a bit more for food so be it . No one accepts former complaints that ending black slavery would raise the cost of cotton cloth , so why do we dare mention the cost of ending agricultural worker slavery . Mechanize these picking jobs and pay American workers a decent wage to do the work of several immigrant slaves as we have done in every other industry . Farmers and other businesses who can not make a profit without slave labor should go out of business or get into another business .",luring more than a million poor unskilled immigrants to this country a year,Employment & Economy,express purpose of exploiting them with below living wage wages,HATE,express purpose of exploiting them with below living wage wages
405,"Just because ISIL currently has the support of the local Sunni populace , does not mean this will last . Let the Sunnis that have allied with ISIL get to know them a bit better , and I am sure resistance will form eventually . The focus should be on supporting the Kurds only , like President Obama is doing right now . In these situations , patience is of the utmost importance . Let us see where the pieces fall first . There is no need to rush into anything . The current air support of the Kurdish Forces and supplying only them with sophisticated weaponry should be the strategy , nothing more and nothing less .",supporting the Kurds,Policy & Governance,should be the strategy,HOPEFUL,The current air support of the Kurdish Forces and supplying only them with sophisticated weaponry should be the strategy
406,"What needs to happen is that insitutions of higher learning need to develop standards for internships . This should include a limit to the number of unpaid hours a worker can work in a week without triggering automatic compensation . Also companies should agree to interns representing only of their workforce . The dirty little secret is that some companies are relying extensively on internships as a labor source . One of those companies is Disney , which has a good portion of its theme park workforce filled by interns . Then there must be standards for the work , flipping burgers or waiting tables are not acceptable intern experiences for college graduates .",internships,Employment & Economy,The dirty little secret is that some companies are relying extensively on internships as a labor source,HOPEFUL,What needs to happen is that insitutions of higher learning need to develop standards for internships
407,"The gambling industry is an entirely predatory exploitation of human weakness and greed . The mathematically challenged are exploited with the false hope of riches while our communities are stripped of vital economic resources . Far better we tax ourselves fairly to promote industry , rebuild our infrastructure and educate our population and provide universal healthcare than to support these entirely regressive enterprises .",gambling industry,Employment & Economy,an entirely predatory exploitation of human weakness and greed,HATE,an entirely predatory exploitation of human weakness and greed
408,"Im noticing a lot of hateful , divisive tweets on my timeline from BernieSanders supporters . Theyve gone as far as harassing people who support other democratic candidates . Its as if their opinions are the only ones that matter . WTF ? VoteBlueNoMatterWho2020",BernieSanders supporters,Community Impact & Social Cohesion,"hateful , divisive tweets",HATE,"hateful , divisive tweets"
409,"If the price comes down to about k , I will buy one . If I need to drive on a vacation , or for some other reason long - distance , I will rent a more capable vehicle . Simple as that . The fewer gallons of gasoline or ethanol burned , the better . With climate change occurring at an ever - faster rate , we ' d better be doing everything in our power to reduce our use of fossil fuels . Why would anyone be against bolstering the human race ' s chance for survival ?",climate change,Policy & Governance,we ' d better be doing everything in our power to reduce our use of fossil fuels,HOPEFUL,we ' d better be doing everything in our power to reduce our use of fossil fuels
410,"Thank you , Bernie ! ( most dont realize how many people right in front of them may be homeless or in a severe crisis ! ) Thank you for noticing these issues ! We fight for YOU , too ! ThankfulForBernieSanders",these issues,Empathy & Support,Thank you for noticing,HOPEFUL,Thank you for noticing these issues
411,"And do not kill ur children for fear of poverty . We provide for them & for u . Indeed , their killing is ever a great sin . Quran SemST",poverty,Empathy & Support,fear of poverty,HOPEFUL,do not kill ur children for fear of poverty
412,I have excellent employer - provided health insurance . I contribute approximately / mo . I support MedicareForAll BERNIE I want ALL Americans to have healthcare .,healthcare,Addiction & Health,I want ALL Americans to have healthcare,HOPEFUL,I want ALL Americans to have healthcare
413,I am proud to announce I support HillaryClinton ! SemST,HillaryClinton,Policy & Governance,I support HillaryClinton,HOPEFUL,I support HillaryClinton
414,"Prop . That proposition that has me paying x more taxes for my house than my neighbor in an identical house next door , and my neighbor across the street , in a mirror image house paying x more than me . It is an immoral law , that also buried California ' s once envious education system . but that ' s what you get with republicans : Lack of willingness to fund infrastructure of the state or nation makes the nation grate not great .",Prop . That proposition,Policy & Governance,It is an immoral law,HATE,It is an immoral law
415,"laughing out loud - I love the fact that even though the NYTimes clearly weighted the debate in favor of pageant supporters , the idea that a beauty pageant is somehow a great thing for women is getting completely slammed in the comments . Men are considered to have too much individual dignity and worth to be judged on something as shallow as what they look like in a bathing suit . That ' s why beauty pageants are only for women . We all know why some people support beauty pageants - because there ' s money to be made from exhibiting the bodies of little girls and young women , thanks to trashy parents . Just ask Honey Boo .",beauty pageant,Empathy & Support,a great thing for women is getting completely slammed,HATE,a beauty pageant is somehow a great thing for women is getting completely slammed
416,It is a poverty to decide that a child must die so you may live as you wish . - Mother Teresa prolifeyouth prolifegen SemST,a child,Empathy & Support,a child must die,HATE,a child must die
417,"And reported to the State Dept , etc . At that time Quid Pro Joe was still saying he wasnt running ! Fact ! ImpeachmentSham Biden is only in the race to bury fact he was about to be exposed and that Hunter slush fund for Daddys support was going to brought to light !",ImpeachmentSham,Policy & Governance,ImpeachmentSham,HATE,ImpeachmentSham
418,Racist hypocrites . They are as religious as the slavers were ! Modern evangelicals ' support for DonaldJTrump cannot be separated from the history of evangelicals ' participation in & support for racist structures in America .,Modern evangelicals ' support for DonaldJTrump,Empathy & Support,Racist hypocrites,HATE,Racist hypocrites
419,"An Iran with nukes would disrupt Israel ' s cruel and outrageously exercised Mideast hegemony . Israel has ICBM nukes and threatens Iran ' s very existence , actually campaigns for war against Iran . We must withdraw all sanctions and compensate Iran for damages from the $$ Billions we will no longer be giving Israel annually . American foreign policy must again serve American interests , not AIPAC or the Jewish state ' s paranoid pursuit of invulnerability , territorial conquest and apartheid empire in , and beyond , the Mideast .",American foreign policy,Policy & Governance,must again serve American interests,HATE,"American foreign policy must again serve American interests , not AIPAC or the Jewish state ' s paranoid pursuit of invulnerability , territorial conquest and apartheid empire"
420,"Why should people who choose to follow superstitious folklore be permitted to endanger the rest of us ? I do not abide religious exemptions for anything that affects public health and welfare ( and that includes property taxes as well as vaccinations , military service , etc . ) We must stop allowing those who believe fairy tales to influence public policy .",religious exemptions,Policy & Governance,I do not abide religious exemptions for anything that affects public health and welfare,HATE,I do not abide religious exemptions for anything that affects public health and welfare
421,"Regardless of what other commenters think about Palestine and the Palestinians - some of it blatantly racist e . g . that Arabs are a violent people and therefore not worthy of U.S. support , some of it just historically ignorant - e . Arafat turned down a peace deal and therefore Palestinians are undeserving of a state forever after - the issue is not Palestine v . Israel . The issue is whether the U.S. can be an impartial mediator in the dispute . And it cannot . The U.S. , for better or for worse , wrongfully or rightfully , has a ' special relationship ' with Israel that will always , always , always come first . Regardless of the current state of affairs , of who is on the ' wrong ' or ' right ' side of the latest iteration of the conflict , the U.S. is in Israel ' s corner first and the peace process ' s second . We therefore can never be a true mediator in this issue .",U.S.,Policy & Governance,cannot be an impartial mediator in the dispute,NEUTRAL,cannot be an impartial mediator in the dispute
422,"The real gateway drugs are prescribed by doctors . Those are dangerous and we are seeing the fallout from increased heroin addiction and overdose death . Marijuana , like alcohol , can be used too frequently , or used at times when we need to be sober , like during work or before operating a vehicle . And children most definitely should not partake . Alcohol can be just as dangerous as any drug . Even though the majority of citizens do not abuse alcohol , there are some among us who simply cannot drink responsibly . There will be some who cannot use marijuana responsibly either , but I do not think policy should be written for those who abuse a substance . That is not effective policy .",heroin addiction and overdose death,Addiction & Health,dangerous and we are seeing the fallout,NEUTRAL,dangerous and we are seeing the fallout
423,"The author assumes the conclusion about education on opioids - without providing evidence . Like Ioannidis said we have an epidemic of opinions in medicine today . Some studies have shown that education in opioids improves care . There is also studies showing education on pain care improves pain care . Education on opioids will miss the mark , in my opinion , if the goal is to improve pain care and prevent addiction to opioids . It is clear doctors do not wish to have education in either pain care or on opioids - as statements by the AMA and aafp and efforts by the MSSNY are indicative of . But being a doctor is not a god given right and society has the right to dictate to those who want to be doctors what education they need to obtain and maintain their license . So we should try to reeducate doctors in both using opioids and in pain care - its morally right and there is evidence that it can improve care .",education on opioids,Addiction & Health,will miss the mark,NEUTRAL,Education on opioids will miss the mark
424,"Watch : After questions judgement on his Iraq War vote , the former VP tells "" I tell you what . Id put my foreign policy record against anybody in the country right now "" JoeBiden Election NHPolitics FITN",foreign policy record,Policy & Governance,Id put my foreign policy record against anybody in the country right now,NEUTRAL,Id put my foreign policy record against anybody in the country right now
