sample_id,source_dataset,source_id,original_text,cleaned_text,aspect_target,aspect_category,opinion_span,stance,explanation,mapped_stance,cost_usd,s1_attempts,s2_attempts,status,errors,timestamp
39,VAST,,"The fact that marijuana is vastly less harmful than alcohol or tobacco is completely ignored. If this guy was serious about health, he would call for alcohol prohibition. Why is alcohol okay? Because it's the drug of choice for white men. So he wants to live in a country where less harmful options to alcohol are illegal and those laws are enforced by judges and prosecutors who drink martinis to celebrate. Love this guy.","The fact that marijuana is vastly less harmful than alcohol or tobacco is completely ignored . If this guy was serious about health , he would call for alcohol prohibition . Why is alcohol okay ? Because it ' s the drug of choice for white men . So he wants to live in a country where less harmful options to alcohol are illegal and those laws are enforced by judges and prosecutors who drink martinis to celebrate . Love this guy .",alcohol prohibition,Addiction & Health,completely ignored,HATE,completely ignored,NEUTRAL,0.000839,1,1,accepted,,2026-05-22T09:08:01.338119
40,VAST,,"Asking a question about Wal Marts morality is offensive. The only thing that concerns them is the fast buck, and they have the money and power to make every devious argument in their favor. When they with the aid of hired politicians drive all competition to complete impotence, their utter disregard for the general welfare will cost us dearly.","Asking a question about Wal Marts morality is offensive . The only thing that concerns them is the fast buck , and they have the money and power to make every devious argument in their favor . When they with the aid of hired politicians drive all competition to complete impotence , their utter disregard for the general welfare will cost us dearly .",Wal Marts morality,Policy & Governance,offensive,HATE,offensive,NEUTRAL,0.000822,1,1,accepted,,2026-05-22T09:08:04.617866
41,PStance,,"You can count with me and my family support again, Bernie, support on line, word of mouth, and our modest economic support, but we are many members in my family =D","You can count with me and my family support again , Bernie , support on line , word of mouth , and our modest economic support , but we are many members in my family <laugh>",support,Empathy & Support,You can count with me and my family support again,HOPEFUL,You can count with me and my family support again,HOPEFUL,0.000829,1,1,accepted,,2026-05-22T09:08:06.471974
42,VAST,,The borders must be closed. PEople should be stopped from going there and coming from there or pretending to. Refugee intake must be radically reduced. We are playing with fire people. Europe will fall apart if this flood of angry people continues. The right will rise up. Europeans are seeing their cities destroyed.,The borders must be closed . PEople should be stopped from going there and coming from there or pretending to . Refugee intake must be radically reduced . We are playing with fire people . Europe will fall apart if this flood of angry people continues . The right will rise up . Europeans are seeing their cities destroyed .,Refugee intake,Policy & Governance,must be radically reduced,HATE,Refugee intake must be radically reduced,HATE,0.000833,1,1,accepted,,2026-05-22T09:08:07.840011
43,VAST,,"I have smoked Martijuana all of my adult life and never had the desire to try another drug. I have a drink now and then, but do not smoke cigarettes. None of the people I know, not one of them, who smoke joint have any inclination toward using harder drugs. I've never tried pot brownies but perhaps I'd like them better than smoking which cannot be good for my lungs. My sense is people who use hard drugs are predisposed to their use and not pushed along by toking on a pipe of mary jane. I feel strongly that commentaries such as this written by people in positions affecting laws mislead and in turn do much more harm than good.","I have smoked Martijuana all of my adult life and never had the desire to try another drug . I have a drink now and then , but do not smoke cigarettes . None of the people I know , not one of them , who smoke joint have any inclination toward using harder drugs . I have never tried pot brownies but perhaps I ' d like them better than smoking which cannot be good for my lungs . My sense is people who use hard drugs are predisposed to their use and not pushed along by toking on a pipe of mary jane . I feel strongly that commentaries such as this written by people in positions affecting laws mislead and in turn do much more harm than good .",commentaries such as this written by people in positions affecting laws,Policy & Governance,mislead and in turn do much more harm than good,HATE,mislead and in turn do much more harm than good,NEUTRAL,0.000935,1,1,accepted,,2026-05-22T09:08:10.037466
44,VAST,,Treatment is much better than jail or prison but neither seems to have much of a track record for helping the addicted. I know parents who have sent their kids to treatment multiple times and the addict takes up drinking or drugs as soon as they are released. Treatment is expensive and WE pay for health care for the homeless and hopelessly addicted who live on the streets or at the bottom of the social ladder. Proven treatment that works and is affordable - Yes. A simple money machine for providers with little or no success in treatment - NO. The BIG problem is getting to the Yes.,Treatment is much better than jail or prison but neither seems to have much of a track record for helping the addicted . I know parents who have sent their kids to treatment multiple times and the addict takes up drinking or drugs as soon as they are released . Treatment is expensive and WE pay for health care for the homeless and hopelessly addicted who live on the streets or at the bottom of the social ladder . Proven treatment that works and is affordable - Yes . A simple money machine for providers with little or no success in treatment - NO . The BIG problem is getting to the Yes .,Treatment,Addiction & Health,Treatment is much better than jail or prison,HOPEFUL,Treatment is much better than jail or prison,NEUTRAL,0.000882,1,1,accepted,,2026-05-22T09:08:12.410381
45,VAST,,"As the son of a farmer, I reluctantly agree with the author's conclusion. Farm subsidies grossly reward a small-percentage of large-scale corporate farms and businesses, which now operate on scales in vast disproportion to the revered Jeffersonian single-farmer business. Farm subsidies indirectly support major pharmaceutical companies through chemicals, oil industries (fertilizer), and diesel production/ports; a very nationalist enterprise in an era of which America is the self-proclaimed champion of global free markets and force tariff removals. There are only two kinds of farmers: those selling their land and millionaires...there is little in-between in this industry...which also can no longer survive in a free market...commcercial farming has, in the words of a famous person, become 'too big too be allowed to fail.'","As the son of a farmer , I reluctantly agree with the author ' s conclusion . Farm subsidies grossly reward a small - percentage of large - scale corporate farms and businesses , which now operate on scales in vast disproportion to the revered Jeffersonian single - farmer business . Farm subsidies indirectly support major pharmaceutical companies through chemicals , oil industries ( fertilizer ) , and diesel production / ports ; a very nationalist enterprise in an era of which America is the self - proclaimed champion of global free markets and force tariff removals . There are only two kinds of farmers : those selling their land and millionaires . there is little in - between in this industry . which also can no longer survive in a free market . commcercial farming has , in the words of a famous person , become ' too big too be allowed to fail . '",Farm subsidies,Employment & Economy,grossly reward a small - percentage of large - scale corporate farms and businesses,NEUTRAL,grossly reward a small - percentage of large - scale corporate farms and businesses,HOPEFUL,0.000949,1,1,accepted,,2026-05-22T09:08:21.543937
46,SemEval2016,,"I support Bernie on account USA needs a new direction but, if he loses in primary ,I'll support Hillary Clinton. Sanders2016 SemST","I support Bernie on account USA needs a new direction but , if he loses in primary , I will support Hillary Clinton . Sanders2016 SemST",Bernie,Policy & Governance,I support Bernie,HOPEFUL,I support Bernie,HATE,0.000794,1,1,accepted,,2026-05-22T09:08:23.117112
47,PStance,,"Of Course JoeBiden is receiving donation monies from CCP, China has to keep their initial investment of $1.5B given to Biden going. And expect, If Joe wins the Presidency, China will OWN a large chunk of the United States, and their drug pipeline will be renewed.","Of Course JoeBiden is receiving donation monies from CCP , China has to keep their initial investment of given to Biden going . And expect , If Joe wins the Presidency , China will OWN a large chunk of the United States , and their drug pipeline will be renewed .",drug pipeline,Addiction & Health,will be renewed,HATE,their drug pipeline will be renewed,HOPEFUL,0.000818,1,1,accepted,,2026-05-22T09:08:24.737023
48,VAST,,"No one can ever truly afford to have a child. Mankind would have died out eons ago if we'd all waited. But then we lived VERY modestly on one income so we had no child care expenses. Anyone who graduates from college with 6 figure student loans is a fool - there are ways to get a college education without doing that. I agree that those with only a high school diploma absolutely must delay children until they achieve some financial stability - if they don't, they'll have a lifetime of poverty. But all these college-educated young who are delaying parenthood until their forties so they can obtain all the material things they desire and take all the trips are only fooling themselves. This is financial responsibility - this is an avoidance of adulthood.","No one can ever truly afford to have a child . Mankind would have died out eons ago if we ' d all waited . But then we lived VERY modestly on one income so we had no child care expenses . Anyone who graduates from college with figure student loans is a fool - there are ways to get a college education without doing that . I agree that those with only a high school diploma absolutely must delay children until they achieve some financial stability - if they do not , they will have a lifetime of poverty . But all these college - educated young who are delaying parenthood until their forties so they can obtain all the material things they desire and take all the trips are only fooling themselves . This is financial responsibility - this is an avoidance of adulthood .",financial stability,Employment & Economy,must delay children until they achieve some financial stability,HOPEFUL,absolutely must delay children until they achieve some financial stability,HOPEFUL,0.000920,1,1,accepted,,2026-05-22T09:08:26.568115
49,VAST,,The world already has too many people. One only has to pick up the newspaper to read of thousands of people risking their necks to move to countries who do not want them in order to better their standard of living. A good example of overpopulation is Haiti. Haitian have too many babies. Their people try to migrate to other countries who spend resources to find such immigrants and deport them.,The world already has too many people . One only has to pick up the newspaper to read of thousands of people risking their necks to move to countries who do not want them in order to better their standard of living . A good example of overpopulation is Haiti . Haitian have too many babies . Their people try to migrate to other countries who spend resources to find such immigrants and deport them .,overpopulation,Community Impact & Social Cohesion,too many people,HATE,too many people,HATE,0.000839,1,1,accepted,,2026-05-22T09:08:28.249604
50,VAST,,"Just because she has the right to endorse a candidate, that does not make it the right thing to do. There is an intrinsic difference between commenting on judicial opinions already delivered, and attempting to use the power and glory of the Supreme Court to influence an upcoming election. I think that the dignity of the Court is lessened when its members descend into the political arena in such a manner.","Just because she has the right to endorse a candidate , that does not make it the right thing to do . There is an intrinsic difference between commenting on judicial opinions already delivered , and attempting to use the power and glory of the Supreme Court to influence an upcoming election . I think that the dignity of the Court is lessened when its members descend into the political arena in such a manner .",the dignity of the Court,Policy & Governance,is lessened when its members descend into the political arena in such a manner,NEUTRAL,the dignity of the Court is lessened when its members descend into the political arena in such a manner,NEUTRAL,0.000896,1,1,accepted,,2026-05-22T09:08:32.170761
51,PStance,,"Sanders is an opportunist who only joined the Democrats so he could take advantage of their organizational apparatus &amp; ground game &amp; base support. He sits as an independent, he should run as one. I have no respect for his attempt to exploit the Dems then cry foul.","Sanders is an opportunist who only joined the Democrats so he could take advantage of their organizational apparatus & ground game & base support . He sits as an independent , he should run as one . I have no respect for his attempt to exploit the Dems then cry foul .",Sanders,Empathy & Support,opportunist,HATE,Sanders is an opportunist,HATE,0.000818,1,1,accepted,,2026-05-22T09:08:33.473889
52,VAST,,"U.S. Forigen policy in the last decade has been like a drunk in a china shop. Presidents George W, and Obama's forigen police advisors are a disaster. Iraq and Syria, both brutal dictatorships, and both secular governments where your religion was your own business we could not tolerate. But Saudia Arabia, the bank that funds the genacidal Muslim fundamentalists are just fine. I hope we ""don't do more stupid stuff"", it's getting very dangerous, and very expensive.","U.S. Forigen policy in the last decade has been like a drunk in a china shop . Presidents George W , and Obama ' s forigen police advisors are a disaster . Iraq and Syria , both brutal dictatorships , and both secular governments where your religion was your own business we could not tolerate . But Saudia Arabia , the bank that funds the genacidal Muslim fundamentalists are just fine . I hope we "" do not do more stupid stuff "" , it ' s getting very dangerous , and very expensive .",U.S. Forigen policy,Policy & Governance,has been like a drunk in a china shop,HATE,has been like a drunk in a china shop,NEUTRAL,0.000886,1,1,accepted,,2026-05-22T09:08:35.173934
53,VAST,,"The casino should replace the eagle as the new symbol of America. Wait, make that a casino with a really big army. Does anyone truly think that a business that is designed to churn money and skim some off the top has an social value in an economy that so recently created value by making things? Oh wait, I'm thinking of Wall Street. We're discussing casinos? Well, I guess we can say that casinos are a really fun way to pay stupidity taxes. Yes, that's it. As your money disappears you can, like a cat, watch shiny things go around in circles and bat at them. It's a testament to how far we've come that we're willing to call employing dealers and bouncers a boon to our economy. Yes, even in areas where moon-shining is still considered a career choice.","The casino should replace the eagle as the new symbol of America . Wait , make that a casino with a really big army . Does anyone truly think that a business that is designed to churn money and skim some off the top has an social value in an economy that so recently created value by making things ? Oh wait , I am thinking of Wall Street . We are discussing casinos ? Well , I guess we can say that casinos are a really fun way to pay stupidity taxes . Yes , that ' s it . As your money disappears you can , like a cat , watch shiny things go around in circles and bat at them . It ' s a testament to how far we have come that we are willing to call employing dealers and bouncers a boon to our economy . Yes , even in areas where moon - shining is still considered a career choice .",casinos,Employment & Economy,a really fun way to pay stupidity taxes,HATE,casinos are a really fun way to pay stupidity taxes,HATE,0.000928,1,1,accepted,,2026-05-22T09:08:36.917087
54,VAST,,Columbia College allowed me and countless other lower income students to study at one of the great universities of the world for almost no tuition. I graduated from Columbia with no student loans and this has allowed me to practice medicine in rural Upstate New York. I will always be grateful to Columbia and I will continue to contribute money toward their scholarship fund. Why would you want to damage a great university such as Columbia with a new tax policy? The money I contribute helps other students from lower income families attend this wonderful college.,Columbia College allowed me and countless other lower income students to study at one of the great universities of the world for almost no tuition . I graduated from Columbia with no student loans and this has allowed me to practice medicine in rural Upstate New York . I will always be grateful to Columbia and I will continue to contribute money toward their scholarship fund . Why would you want to damage a great university such as Columbia with a new tax policy ? The money I contribute helps other students from lower income families attend this wonderful college .,new tax policy,Policy & Governance,damage a great university such as Columbia with a new tax policy,NEUTRAL,damage a great university such as Columbia with a new tax policy,NEUTRAL,0.000891,1,1,accepted,,2026-05-22T09:08:38.736832
55,PStance,,"Looks like she could be related to CreepyJoe. She's definitely not using SocialDistancing. I thoroughly enjoyed taking that picture, especially after she started Eyeball Fuxing me. She wouldn't take a picture with a 17 year Vet cause I didn't support her. Loomer got Loomered.","Looks like she could be related to CreepyJoe . She ' s definitely not using SocialDistancing . I thoroughly enjoyed taking that picture , especially after she started Eyeball Fuxing me . She would not take a picture with a year Vet cause I did not support her . Loomer got Loomered .",SocialDistancing,Public Safety,She ' s definitely not using SocialDistancing,HATE,She ' s definitely not using SocialDistancing,HATE,0.000844,1,1,accepted,,2026-05-22T09:08:40.295771
56,PStance,,MAGA Deplorables DonaldTrump IllegalAliens border American citizens... Trump signed an executive order to keep families together after @USER said they would not pass anything in Congress. Now democratic orgs are going to sue Trump for signing the order. Vote GOP.,MAGA Deplorables DonaldTrump IllegalAliens border American citizens . Trump signed an executive order to keep families together after said they would not pass anything in Congress . Now democratic orgs are going to sue Trump for signing the order . Vote GOP .,executive order to keep families together,Policy & Governance,Trump signed an executive order to keep families together,NEUTRAL,Trump signed an executive order to keep families together,HOPEFUL,0.000847,1,1,accepted,,2026-05-22T09:08:43.674128
57,PStance,,An investigation needs to be done on Jordon's support of pedophilia. Too many GOP Grand Old Pedophiles: Trump Campaign Offical Ralph Shortey convicted of sextrafficking trafficking childsextrafficking,An investigation needs to be done on Jordon ' s support of pedophilia . Too many GOP Grand Old Pedophiles : Trump Campaign Offical Ralph Shortey convicted of sextrafficking trafficking childsextrafficking,Jordon ' s support of pedophilia,Empathy & Support,Too many GOP Grand Old Pedophiles,HATE,Too many GOP Grand Old Pedophiles,HATE,0.000845,1,1,accepted,,2026-05-22T09:08:45.396886
58,PStance,,"between an idiotic ignorant sexual assaulter & a warhawk in the pocket of wall street and the military industrial complex, either was going to lead us to more perpetual wars, needless interventions, supporting human rights violators like Saudi Arabia. We need better BernieSanders","between an idiotic ignorant sexual assaulter & a warhawk in the pocket of wall street and the military industrial complex , either was going to lead us to more perpetual wars , needless interventions , supporting human rights violators like Saudi Arabia . We need better BernieSanders",BernieSanders,Policy & Governance,We need better BernieSanders,HOPEFUL,We need better BernieSanders,HOPEFUL,0.000830,1,1,accepted,,2026-05-22T09:08:52.970861
59,PStance,,"A 100,000 requests. Sorry I don't believe that just like you don't believe in U.F.O'S. I think this is fake news and a witch hunt for some support. JoeBiden 2020","A , requests . Sorry I do not believe that just like you do not believe in U.F.O ' S . I think this is fake news and a witch hunt for some support . JoeBiden",this,Policy & Governance,I think this is fake news and a witch hunt for some support,NEUTRAL,I think this is fake news and a witch hunt for some support,HOPEFUL,0.000841,1,1,accepted,,2026-05-22T09:08:54.712321
60,PStance,,"BERNIE: its time to do something you cannot conceive of, despite your slogan being NotMeUs, and take one for the team. The loss must be yours. Take it. And let us continue to fight for the policy. Someone else will make it happen. Now, you need to get out of the way.","BERNIE : its time to do something you cannot conceive of , despite your slogan being NotMeUs , and take one for the team . The loss must be yours . Take it . And let us continue to fight for the policy . Someone else will make it happen . Now , you need to get out of the way .",the policy,Policy & Governance,fight for the policy,HOPEFUL,fight for the policy,HATE,0.000828,1,1,accepted,,2026-05-22T09:08:56.415721
61,PStance,,"Hey D Circ Firing Squad! I support @USER, but this video about BernieSanders is UNFAIR to him. I lived in Russia (and prefer American way of life), and what Bernie says about Russian cultural life is ABSOLUTELY CORRECT. BUT it does NOT mean he wants Russian political system!","Hey D Circ Firing Squad ! I support , but this video about BernieSanders is UNFAIR to him . I lived in Russia ( and prefer American way of life ) , and what Bernie says about Russian cultural life is ABSOLUTELY CORRECT . BUT it does NOT mean he wants Russian political system !",BernieSanders,Policy & Governance,UNFAIR to him,HOPEFUL,UNFAIR to him,HOPEFUL,0.000834,1,1,accepted,,2026-05-22T09:08:58.371633
62,VAST,,More mess for the 1st world while everyone else struggles for food & shelter. I wonder how much of our commercial stuff ends up in landfills within a year or two (easily ascertained); just add the thrown out consumer generated stuff. Soon we'll be able to walk to the moon. Come on big asteroid!,More mess for the st world while everyone else struggles for food & shelter . I wonder how much of our commercial stuff ends up in landfills within a year or two ( easily ascertained ) ; just add the thrown out consumer generated stuff . Soon we will be able to walk to the moon . Come on big asteroid !,commercial stuff,Community Impact & Social Cohesion,More mess for the st world,HATE,More mess for the st world,HATE,0.000840,1,1,accepted,,2026-05-22T09:08:59.991805
63,PStance,,"See GOP Donald Trump evolve on the 'border wall' he promised during his campaign. A look at how Trump's thinking has shifted, as the government faces possible shutdown over border security funds.","See GOP Donald Trump evolve on the ' border wall ' he promised during his campaign . A look at how Trump ' s thinking has shifted , as the government faces possible shutdown over border security funds .",border wall,Policy & Governance,promised during his campaign,NEUTRAL,promised during his campaign,HATE,0.000809,1,1,accepted,,2026-05-22T09:09:01.168025
64,PStance,,I like that @USER is adopting @USER policy. Please I hope he adopts her disability policy next. Please . Election2020 BlueWave2020 HeHasHerPlanForThat,I like that is adopting policy . Please I hope he adopts her disability policy next . Please . Election2020 BlueWave2020 HeHasHerPlanForThat,policy,Policy & Governance,I like that is adopting policy,HOPEFUL,I like that is adopting policy,HOPEFUL,0.000806,1,1,accepted,,2026-05-22T09:09:04.473205
65,VAST,,"This article is not only misleading but really a flat out lie. Most condominium owners in NYC are not foreign billionaires, but average families trying to make a living like everyone else. Further more, condo owners pay a much higher tax than home owner do on similarly priced homes. This is because in NYC houses are assessed an the basis of their market value. Condos are assessed on their market values as commercial (ie. rental properties), which allows the city to arbitrarily assign a much higher value to condos, and therefore a much higher tax. For instance, right now, one can find a $550K house in St. Albans with taxes of $4972. per year and a $529k condo in Battery park city with annual taxes of $9000. This is despite the fact, that most multi unit condos use less city services, less space and less energy than a similar number of houses. Even if condo owners and developers get a tax abatement during the initial years, these expire and they end up paying substantially higher taxes overall. The system is patently unfair to condo owners, and this article is simply dishonest!","This article is not only misleading but really a flat out lie . Most condominium owners in NYC are not foreign billionaires , but average families trying to make a living like everyone else . Further more , condo owners pay a much higher tax than home owner do on similarly priced homes . This is because in NYC houses are assessed an the basis of their market value . Condos are assessed on their market values as commercial ( ie . rental properties ) , which allows the city to arbitrarily assign a much higher value to condos , and therefore a much higher tax . For instance , right now , one can find a house in St . Albans with taxes of . per year and a condo in Battery park city with annual taxes of . This is despite the fact , that most multi unit condos use less city services , less space and less energy than a similar number of houses . Even if condo owners and developers get a tax abatement during the initial years , these expire and they end up paying substantially higher taxes overall . The system is patently unfair to condo owners , and this article is simply dishonest !",The system,Policy & Governance,patently unfair to condo owners,NEUTRAL,The system is patently unfair to condo owners,NEUTRAL,0.000961,1,1,accepted,,2026-05-22T09:09:05.783565
66,VAST,,"As someone who was permanently disabled due to a Christian Science upbringing, I wholeheartedly support this call to eliminate religious loopholes in child protection laws. Children deserve equal protection, regardless of what church their parents attend. Quite honestly, I don't see why this concept is so difficult for legislators to grasp. We already forbid some child neglect and abuse--why not forbid all of it?","As someone who was permanently disabled due to a Christian Science upbringing , I wholeheartedly support this call to eliminate religious loopholes in child protection laws . Children deserve equal protection , regardless of what church their parents attend . Quite honestly , I do not see why this concept is so difficult for legislators to grasp . We already forbid some child neglect and abuse - - why not forbid all of it ?",religious loopholes in child protection laws,Policy & Governance,I wholeheartedly support this call to eliminate religious loopholes in child protection laws,HOPEFUL,I wholeheartedly support this call to eliminate religious loopholes in child protection laws,NEUTRAL,0.000889,1,1,accepted,,2026-05-22T09:09:07.774276
67,VAST,,"""Do Immigrants Take Jobs From American-Born Workers?"" seems to imply those jobs belong to native-born workers by right. That's an interesting perspective, particularly given how America advertises itself as a meritocracy, where the jobs go to the hardest working and most skilled. Mr. Camarota is re-treading the same arguments raised by 19th century Know-Nothings. America has not imploded from immigration since then. Successive generations of nativists have frothed about Irish, Italians, Polish, Chinese immigrants coming to steal American jobs. Yet America has became a superpower in those years. So is immigration really killing the job market? Or maybe we should look instead at what's different now? Perhaps the more significant cause of the decline in employment opportunities is because jobs are being shipped to countries like China or Sri Lanka? Or perhaps it's because there is a lack in upwards social mobility through failing public education and rising costs of higher education?",""" Do Immigrants Take Jobs From American - Born Workers ? "" seems to imply those jobs belong to native - born workers by right . That ' s an interesting perspective , particularly given how America advertises itself as a meritocracy , where the jobs go to the hardest working and most skilled . Mr . Camarota is re - treading the same arguments raised by th century Know - Nothings . America has not imploded from immigration since then . Successive generations of nativists have frothed about Irish , Italians , Polish , Chinese immigrants coming to steal American jobs . Yet America has became a superpower in those years . So is immigration really killing the job market ? Or maybe we should look instead at what ' s different now ? Perhaps the more significant cause of the decline in employment opportunities is because jobs are being shipped to countries like China or Sri Lanka ? Or perhaps it ' s because there is a lack in upwards social mobility through failing public education and rising costs of higher education ?",jobs,Employment & Economy,killing the job market,NEUTRAL,So is immigration really killing the job market ?,NEUTRAL,0.000944,1,1,accepted,,2026-05-22T09:09:09.666611
68,PStance,,"Had 2 laugh at that RABID DOG ahem, JoeBiden relax it's news) as JO JO errantly claimed he had support of ONLY black female senator CM Braun when the other KamalaHarris was standing RIGHT THERE &amp; laughingly reminded old man of it. Really entertaining, thx 4 laughs :-)","Had laugh at that RABID DOG ahem , JoeBiden relax it ' s news ) as JO errantly claimed he had support of ONLY black female senator CM Braun when the other KamalaHarris was standing RIGHT THERE & laughingly reminded old man of it . Really entertaining , thx laughs <happy>",JoeBiden,Empathy & Support,RABID DOG,HATE,RABID DOG,HATE,0.000829,1,1,accepted,,2026-05-22T09:09:20.824197
69,VAST,,We can not allow the refugees into Western countries. It's too risky. Any political leader who supports Syrian refugees coming into the U.S. should resign their position immediately if one of those refugee commits any act of violence in our country.,We can not allow the refugees into Western countries . It ' s too risky . Any political leader who supports Syrian refugees coming into the U.S. should resign their position immediately if one of those refugee commits any act of violence in our country .,Syrian refugees coming into the U.S.,Public Safety,It ' s too risky,HATE,It ' s too risky,HATE,0.000827,1,1,accepted,,2026-05-22T09:09:22.288689
70,VAST,,"discussions like this are largely moot. the early states into the recreational market have surfaced and are working to solve the various (relatively minor) social consequences of full legalization; nationally, the social acceptance of fully legalized marijuana is increasing annually. as with other liberal trends of the past several decades, the outcome here is clear: eventual full legalization in most states. the drag here is federal drug and banking policy, which is sustained by conservative congressional sentiment. so what? another decade of laissez aller executive orders by a democratic administration will make it clear to everyone that there is very little to fear from marijuana the psychotropic -- once the problem of marijuana the illegal product is eliminated.","discussions like this are largely moot . the early states into the recreational market have surfaced and are working to solve the various ( relatively minor ) social consequences of full legalization ; nationally , the social acceptance of fully legalized marijuana is increasing annually . as with other liberal trends of the past several decades , the outcome here is clear : eventual full legalization in most states . the drag here is federal drug and banking policy , which is sustained by conservative congressional sentiment . so what ? another decade of laissez aller executive orders by a democratic administration will make it clear to everyone that there is very little to fear from marijuana the psychotropic - - once the problem of marijuana the illegal product is eliminated .",federal drug and banking policy,Policy & Governance,drag here,NEUTRAL,the drag here is federal drug and banking policy,HOPEFUL,0.000893,1,1,accepted,,2026-05-22T09:09:23.753182
71,VAST,,"Great article. Arrest should be devoted to people who need social resource. That may mean help, control, or both. It changes people for the better and build trust. People are happier when they know their enforcement of the law is building bridges in communities that may need help. Everyone deserves objective feedback, no one deserves to be abused. Broken windows should be a policy of fixing little things and not draconian punishment for little failures. Cleaning up graffiti, getting kids off the street, and reducing sensational adult advertisement in family communities; those are broken windows. Change can be accomplished mostly by better alternatives and more second chances (learning to do better).","Great article . Arrest should be devoted to people who need social resource . That may mean help , control , or both . It changes people for the better and build trust . People are happier when they know their enforcement of the law is building bridges in communities that may need help . Everyone deserves objective feedback , no one deserves to be abused . Broken windows should be a policy of fixing little things and not draconian punishment for little failures . Cleaning up graffiti , getting kids off the street , and reducing sensational adult advertisement in family communities ; those are broken windows . Change can be accomplished mostly by better alternatives and more second chances ( learning to do better ) .",Broken windows,Policy & Governance,should be a policy of fixing little things and not draconian punishment for little failures,HOPEFUL,Broken windows should be a policy of fixing little things and not draconian punishment for little failures,HATE,0.000934,1,1,accepted,,2026-05-22T09:09:25.582474
72,VAST,,"This situation has existed for decades. The Illegal immigrants have provided needed labor in many areas of our country. They for the most part are industrious, hardworking, friendly and religious people. Stopping the flow of illegal immigrants could have happened decades ago by making it a crime punishable by fine or jail for anyone to hire an undocumented, illegal immigrant. For decades despite all of the talk, our government has given a nod and a wink for them to come here. They have raised their families here and have been a net positive to our society. WHAT SHOULLD BE ILLEGAL IS OUR GOVERNMENT USING AND ABUSING THESE PEOPLE, THEN BEATING THEM OVER THE HEAD SAYING THEY SHOULD BE DEPORTED ENMASS. Shame on the Republican party. Where is their conscious? What are their religious beliefS???????","This situation has existed for decades . The Illegal immigrants have provided needed labor in many areas of our country . They for the most part are industrious , hardworking , friendly and religious people . Stopping the flow of illegal immigrants could have happened decades ago by making it a crime punishable by fine or jail for anyone to hire an undocumented , illegal immigrant . For decades despite all of the talk , our government has given a nod and a wink for them to come here . They have raised their families here and have been a net positive to our society . WHAT SHOULLD BE ILLEGAL IS OUR GOVERNMENT USING AND ABUSING THESE PEOPLE , THEN BEATING THEM OVER THE HEAD SAYING THEY SHOULD BE DEPORTED ENMASS . Shame on the Republican party . Where is their conscious ? What are their religious beliefS ?",Illegal immigrants,Employment & Economy,"industrious , hardworking , friendly and religious people",HOPEFUL,"industrious , hardworking , friendly and religious people",HOPEFUL,0.000929,1,1,accepted,,2026-05-22T09:09:27.851014
73,VAST,,"So the 65% of my ridiculously large real estate tax bill that goes to the school district should be increased whenever someone comes over our border crying whatever? We need faster deportation and less tolerance for this scam game where our own children are being shortchanged while illegal immigrants soak up all the resources in our towns, cities and country. Enough. Stop the flow by eliminating the benefits.","So the of my ridiculously large real estate tax bill that goes to the school district should be increased whenever someone comes over our border crying whatever ? We need faster deportation and less tolerance for this scam game where our own children are being shortchanged while illegal immigrants soak up all the resources in our towns , cities and country . Enough . Stop the flow by eliminating the benefits .",faster deportation,Policy & Governance,We need faster deportation,HATE,We need faster deportation,HATE,0.000840,1,1,accepted,,2026-05-22T09:09:29.293188
74,VAST,,"Absolutely not. Increasing fees is the opposite of what we should be doing. The parks need more funding from the Federal budget. Which means we need to get those GOP members out of the House & Senate, since they only support billionaire tax breaks, evidently. We need MORE PARKS. And they should all be FREE. They are our - the American people's - great patrimony.","Absolutely not . Increasing fees is the opposite of what we should be doing . The parks need more funding from the Federal budget . Which means we need to get those GOP members out of the House & Senate , since they only support billionaire tax breaks , evidently . We need MORE PARKS . And they should all be FREE . They are our - the American people ' s - great patrimony .",parks,Public Space,We need MORE PARKS . And they should all be FREE .,HOPEFUL,We need MORE PARKS . And they should all be FREE .,HATE,0.000868,1,1,accepted,,2026-05-22T09:09:45.905881
75,VAST,,"This is sad: basically, the argument presented here is that public opinion polls help our representatives understand how we feel on a particular issue. The truth is, politicians use poll results to craft their campaign rhetoric - and once elected, ignore the polls and focus on the needs of the powerful which they obtain at dinner parties, on the golf course and through lobbyists. Just look at the numerous polls showing broad public support for policies which the rich veto: a national health plan, increased Social Security benefits, increased taxation of wealth, ending austerity etc.","This is sad : basically , the argument presented here is that public opinion polls help our representatives understand how we feel on a particular issue . The truth is , politicians use poll results to craft their campaign rhetoric - and once elected , ignore the polls and focus on the needs of the powerful which they obtain at dinner parties , on the golf course and through lobbyists . Just look at the numerous polls showing broad public support for policies which the rich veto : a national health plan , increased Social Security benefits , increased taxation of wealth , ending austerity etc .",politicians,Policy & Governance,ignore the polls and focus on the needs of the powerful,HATE,ignore the polls and focus on the needs of the powerful,HOPEFUL,0.000888,1,1,accepted,,2026-05-22T09:09:47.803629
